Objeto;circunferencia;diametro
copo; 25.2; 8
Pilha; 4.5; 1.4
Caneca;25.6;7.9
banco;92.0;29.3
Vela; 20.5; 5.5
garrafa;21.0;6.5
copo; 25.9; 8.3
Tambor; 33.0; 11.0
transferidor; 38.0; 12.1
pote; 28.3; 9
Prato raso;71.709;22.9
banquinho; 84.8; 27.0
Enfeite; 15.6; 4.8
Pote de Alcaparras; 13.6  ; 4.1  
Bola; 50.4; 15.9
pote; 49.7; 15.8
Apontador;8.7;2.8
Desinfetante; 26.0; 8.3
RoloPapelAluminio;13.2;4
Copo; 22.0; 6.8
pote de creme; 20.9; 6.9
pote; 25.0; 7.9
Panela; 11.5; 35.8
lixeira ; 67.1 ; 23.8
caneca; 23.4; 7.2
copo;18;5.73
Liquidificador;45;14
Caneca; 22.6; 7.0
tupperware;52.3;15.0
lata de leite ninho; 32.0; 10.0
Pote de gel fixador;30.0;9.4
lixo; 111.8; 17.8
Apontador;6.2;2
hidratante; 25.0; 7.0
pote; 32.0; 10.1
ventilador;109.5;36.0
vidro de conta gotas; 11.8; 3.0
borrifador de água; 12.8; 4.5
pote; 41.5; 12.1
vaso;48.1;15
caixa de brinquedos; 62.1; 19.8
vaso de plantas;38.5; 12.0
cd;37.4;12
Cola Bastão Pritt; 15.8; 2.5
Branquinho;9.0;2.7
Latinha de Alumínio;17;5.5
Vaso de planta; 20.6 ; 6.6 
copo americano; 20; 6.5
caixinha de som redonda; 24; 7.5
Base monitor acer; 67.9; 21.8
colirio; 8.6; 2.9
panela;98;32
Lixo;59;29.2
tinta de caneta tonteira; 3.69 ; 0.33
Frasco de vitaminas; 19.5; 5.5
Cabo de colher;6.7;1.9
Rolo de linha de costura; 21; 3
Vazo de flor;37.7; 12
lata de panetone; 63.5; 19.6
Bola de tênis; 20.41; 6.5
Pote; 31.0; 10.0
corretivo; 8.8; 2.6
acetona; 14.8; 5.1
Cofre;17.0;5.2
Bowl;40.9;13
Pote; 26.0; 8.3
vela; 24.5; 7.6
Tampa de Chiclete;14.0;4.0
Fundo de copo; 17; 5.5
Amolecedor de cutículas; 13.9; 4.5
Vela;15;4.5
panela;64;20
Fruteira; 101.6; 32.9
bule; 38.8; 13.1
garrafa de água 510ml; 22.0; 6.0
Panela de Pressão; 62.5; 20.0
cofrinho  ; 31.5; 10  
garrafa de água; 23.1; 7.4
Garrafa;25.4  ; 8.5  
lata;32.0;10.0
kinder;11.4;3.2
Durex; 30.2; 9.3
Embalagem de perfume; 10.4; 3
Apontador; 8.7; 2.8
Pote de água micelar; 15.15 ; 4.80 
Paliteiro; 17; 4
lata;53.7;17.0
inseticida; 18.85; 6.0
pote; 30.6; 8.9
protetor solar; 9.4 ;2.7  
Pote de Creme; 31; 10
Cd; 37.68; 12
pote de papel; 38.6 ;12.3
pote de achocolatado; 25.0; 8.0
tampa;24;7
Pringles;21.5;7
embalagem de sabonete liquido; 24.0; 7.5
Maquiagem;20.4;6.5
Garrafa;30.4;9.7
Perfume; 17.6; 5.1
Vaso; 14.6; 13.9
Soro; 13.7; 4.0
Caneca;20.4;6.9
Frasco;21;6.5
caixa de som; 42.4; 13.5
Vidro de própolis( base); 10.90; 03.30
caneca; 25.5; 9.0
pote de whey;35.9;11.2
Ventilador;144.44;46
abajur; 55.2; 17.5
Copo; 31.5; 10
Lata de Wafes;30.5;9.7
garrafa; 23.1; 6.4
adesivo; 7.53; 2.4
garrafa de champagne; 25; 7
Caneca; 22.5; 8.0
Banco de madeira; 87.5; 27.8
embalagem de bala;17.9;5.5
garrafa de suco;2.5;7.8
lata; 26.1; 8.0
garrafa pet; 26; 7.3
Caneca; 26.25; 8.3
Vaso;32.4;10.2
pires;46.9;4.9
Garrafa; 22.5; 7.0
tampa de um pote;27.0;8.0
embalagem de leite de coco; 19.7; 5.2
Pote; 46.0; 17.0
roda; 22.1; 7.0
bailarina de bolo; 94.3; 30
vaso;31.4;10
acetona; 11.9; 3.8
Tampa de tinta para Tecidos; 17.4; 5.2
Espelho Redondo Pequeno/de Bolso; 53  ; 16.5  
Lixeira; 78.5; 25.2
xicara; 25.1; 8.0
Caneta;6.2;2.1
Perfume; 16.0; 5.0
CopoMedidor;25.8;8.6
Pote de Plástico; 32.2; 10.4
rolo de fita durex; 27.1; 8.4
caneca; 28.0; 8.9
Desodorante; 6.4; 21.0
caneca ; 24.5 ; 7.9
porta copo; 27.1; 8.8
perfume;12.5;3.98
Tampa;69;21
Balde; 79.25; 25.1
durex;14.0;4.3
botão de roupa; 9.0; 2.7
frasco de álcool em gel;23.8;8.2
balde; 94.2; 15.0
Perfume;14;4.5
 caneca; 22.0; 7.0
relógio; 89.8; 29.1
tampa;9.7;2.8
caixinha de som; 20.8;6.3
copo; 19.0; 6.5
garrafa; 30; 9.2
garrafatermica;20.5;6.5
maçaneta; 15.3; 4.9
fita decorativa;12.8;3.9
apontador;22;7
Copo Shot; 6.2; 2.4
Estojo;19.5;6.0
Lixeira de Escritório;60;19
Pote de leite em pó; 30.4 ; 10.4 
desodorante; 15; 4
prato; 43; 13.5
Tampinha Garrafa de academia; 17.5; 5.5
borrifador; 27.0; 9.0
copo;28;9
Pringles;21.2;7.1
moeda argentina;2.82 ; 0.26
Pote de bolacha; 33.4; 10
Pote de gengibre;13.9;4.5
Xícara; 13.3; 4
Tampa de garrafa;7.85;2.5
tenys pé; 16.0; 4.8
Panela; 141.3; 45.0
Forma de pizza; 109.0; 34.5
garrafa; 22.0; 7.0
pote; 39.4; 12.6 
Pote; 46.0;15.3
Tampa;31.4;10
garrafa; 23.9; 7.6
remédio gotas; 10.4; 3.1
Ventilado;109.5;34.0
Embalagem de álcool gel; 24; 7.5
Caneca; 24; 10
Pires;50;16
pires;40;13
Copo; 22.4; 9.5
panela; 57.3; 18.9
batom; 7.5; 2.0
Achocolatado; 33.0; 10.0
pote tempero ; 23; 7   
base de troféu; 27.9; 8.7
Pote; 29 ; 9.4  
copo;29.2;9.0
vaso;32.6;9.8
Tubo; 13.3; 3.6
Cachepô; 39.7; 12.6
Copo plástico; 26.3; 8.4
Pote de cotonete; 23.00 ; 7.30 
Saleiro; 14; 3.7
abajur;39.6;12.5
cesto de roupa; 136.66; 43.5
gel; 26.5; 8.2
vaso; 35; 11  
Relógio; 30.3; 9.3
Copo; 26.3; 8.4
detergente; 18.84 ; 6
pote de manteiga; 26; 9.8
ração;21;7
Copo;22.2;8.3
xicara pequena; 17.8; 5.3
Copo;19;6
Desodorante;11.6;3.7
Desodorante; 14; 4.2
Enfeite; 18.7; 10.6
Garrafa; 34.5; 10.5
Copo;30.0;9.3
Copo;25.5;8
garrafa; 24.2; 7.7
Vasilha cachorro; 66.10;20.50
